,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,usg_pct,ts_pct,ast_pct,season
5894,4002,Sarunas Jasikevicius,IND,30,76.0,197.0,Maryland,USSR,,Undrafted,Undrafted,75,7.3,2.0,3.0,0.8,0.178,0.561,0.257,2005-06
6303,220,Sarunas Marciulionis,DEN,33,77.0,200.0,,USA,1987,6,127,17,6.8,1.8,1.5,-7.6,0.27,0.496,0.188,1996-97
2708,219,Sasha Danilovic,DAL,27,78.0,200.0,,USA,1992,2,43,56,12.5,2.4,1.8,1.5,0.196,0.552,0.103,1996-97
12451,8854,Sasha Kaun,CLE,31,83.0,260.0,Kansas,Russia,2008,2,56,25,0.9,1.0,0.1,-3.2,0.134,0.527,0.052,2015-16
4661,4681,Sasha Pavlovic,CLE,23,79.0,210.0,,Montenegro,2003,1,19,67,9.0,2.4,1.6,6.4,0.19,0.554,0.11,2006-07
4122,6478,Sasha Vujacic,NJN,27,79.0,205.0,,Slovenia,2004,1,27,67,9.8,2.8,2.0,-10.1,0.195,0.515,0.134,2010-11
6596,2197,Scot Pollard,SAC,26,83.0,265.0,Kansas,USA,1997,1,19,77,6.5,6.0,0.6,9.1,0.146,0.53,0.046,2000-01
11617,594,Scott Brooks,CLE,32,71.0,165.0,California-Irvine,USA,,Undrafted,Undrafted,43,1.8,0.7,1.1,-5.0,0.128,0.528,0.275,1997-98
6483,1097,Scott Burrell,NJN,28,79.0,218.0,Connecticut,USA,1993,1,20,32,6.6,3.7,1.4,-1.4,0.155,0.468,0.111,1998-99
10897,10375,Scott Machado,LAL,29,73.0,205.0,Iona,USA,,Undrafted,Undrafted,4,2.5,0.0,0.8,0.0,0.13,0.776,0.214,2018-19
6400,2333,Scott Padgett,UTA,26,81.0,240.0,Kentucky,USA,1999,1,28,75,6.7,3.8,1.1,2.4,0.178,0.568,0.109,2001-02
5626,1530,Scott Williams,MIL,32,82.0,230.0,North Carolina,USA,,Undrafted,Undrafted,68,7.6,6.6,0.4,0.0,0.163,0.539,0.028,1999-00
1733,12264,Scottie Barnes,TOR,20,79.0,225.0,Florida State,USA,2021,1,4,74,15.3,7.5,3.5,1.8,0.187,0.552,0.15,2021-22
12625,12265,Scottie Lewis,CHA,22,77.0,185.0,Florida,USA,2021,2,56,2,0.5,0.0,0.5,-11.8,0.059,0.568,0.2,2021-22
651,200,Scottie Pippen,CHI,31,79.0,228.0,Central Arkansas,USA,1987,1,5,82,20.2,6.5,5.7,13.5,0.245,0.554,0.237,1996-97
9246,12266,Scotty Hopson,OKC,32,79.0,204.0,Tennessee,USA,2011,0,0,1,4.0,1.0,1.0,-18.4,0.143,0.5,0.091,2021-22
11137,12446,Scotty Pippen Jr.,LAL,22,73.0,170.0,Vanderbilt,USA,,Undrafted,Undrafted,6,2.3,0.7,0.3,-1.5,0.231,0.439,0.125,2022-23
12178,2180,Sean Colson,HOU,25,72.0,175.0,North Carolina-Charlotte,USA,,Undrafted,Undrafted,13,1.2,0.5,0.8,-35.2,0.264,0.291,0.455,2000-01
1831,201,Sean Elliott,SAS,29,80.0,220.0,Arizona,USA,1989,1,3,39,14.9,4.9,3.2,-5.7,0.22,0.529,0.161,1996-97
12689,538,Sean Higgins,POR,29,81.0,205.0,Michigan,USA,1990,2,54,2,0.0,0.0,0.0,-49.8,0.181,0.0,0.0,1997-98
2485,9303,Sean Kilpatrick,BKN,27,76.0,219.0,Cincinnati,USA,,Undrafted,Undrafted,70,13.1,4.0,2.2,-6.4,0.237,0.546,0.147,2016-17
8268,2752,Sean Lampley,MIA,23,79.0,227.0,California,USA,2001,2,44,35,4.8,2.4,0.9,-3.3,0.182,0.512,0.12,2002-03
8465,2330,Sean Marks,MIA,26,82.0,250.0,California,New Zealand,1998,2,44,21,4.6,3.6,0.4,-6.1,0.182,0.466,0.046,2001-02
3004,4676,Sean May,CHA,23,81.0,266.0,North Carolina,USA,2005,1,13,35,11.9,6.7,1.9,-0.1,0.233,0.551,0.139,2006-07
